# Time (s),Mass (g)
34.157,2.328e4
34.207,2.328e4
34.257,2.328e4
34.307,2.328e4
34.357,2.328e4
34.407,2.328e4
34.457,2.328e4
34.507,2.328e4
34.557,2.328e4
34.607,2.328e4
34.657,2.328e4
34.707,2.328e4
34.757,2.328e4
34.807,2.328e4
34.857,2.328e4
34.907,2.328e4
34.957,2.328e4
35.007,2.328e4
35.057,2.328e4
35.107,2.328e4
35.157,2.328e4
35.207,2.328e4
35.257,2.328e4
35.307,2.328e4
35.357,2.328e4
35.407,2.328e4
35.457,2.328e4
35.507,2.328e4
35.557,2.328e4
35.607,2.328e4
35.657,2.328e4
35.707,2.328e4
35.757,2.328e4
35.807,2.328e4
35.857,2.328e4
35.907,2.328e4
35.957,2.328e4
36.007,2.328e4
36.057,2.328e4
36.107,2.328e4
36.157,2.328e4
36.207,2.328e4
36.257,2.328e4
36.307,2.328e4
36.357,2.328e4
36.407,2.328e4
36.457,2.328e4
36.507,2.328e4
36.557,2.328e4
36.607,2.328e4
36.657,2.328e4
36.707,2.328e4
36.757,2.328e4
36.807,2.328e4
36.857,2.328e4
36.907,2.328e4
36.957,2.328e4
37.007,2.328e4
37.057,2.328e4
37.107,2.328e4
37.157,2.328e4
37.207,2.328e4
37.257,2.328e4
37.307,2.328e4
37.357,2.328e4
37.407,2.328e4
37.457,2.328e4
37.507,2.328e4
37.557,2.328e4
37.607,2.328e4
37.657,2.328e4
37.707,2.328e4
37.757,2.328e4
37.807,2.328e4
37.857,2.328e4
37.907,2.328e4
37.957,2.328e4
38.007,2.328e4
38.057,2.328e4
38.107,2.328e4
38.157,2.328e4
38.207,2.328e4
38.257,2.328e4
38.307,2.328e4
38.357,2.328e4
38.407,2.328e4
38.457,2.328e4
38.507,2.328e4
38.557,2.328e4
38.607,2.328e4
38.657,2.328e4
38.707,2.328e4
38.757,2.328e4
38.807,2.328e4
38.857,2.328e4
38.907,2.328e4
38.957,2.328e4
39.007,2.328e4
39.057,2.328e4
39.107,2.328e4
39.157,2.328e4
39.207,2.328e4
39.257,2.328e4
39.307,2.328e4
39.357,2.328e4
39.407,2.328e4
39.457,2.328e4
39.507,2.328e4
39.557,2.328e4
39.607,2.328e4
39.657,2.328e4
39.707,2.328e4
39.757,2.328e4
39.807,2.328e4
39.857,2.328e4
39.907,2.328e4
39.957,2.328e4
40.007,2.328e4
40.057,2.328e4
40.107,2.328e4
40.157,2.328e4
40.207,2.328e4
40.257,2.328e4
40.307,2.328e4
40.357,2.328e4
40.407,2.328e4
40.457,2.328e4
40.507,2.328e4
40.557,2.328e4
40.607,2.328e4
40.657,2.328e4
40.707,2.328e4
40.757,2.328e4
40.807,2.328e4
40.857,2.328e4
40.96,2.328e4
41.062,2.328e4
41.165,2.328e4
41.268,2.328e4
41.371,2.328e4
41.474,2.328e4
41.578,2.328e4
41.682,2.328e4
41.786,2.328e4
41.89,2.328e4
41.995,2.328e4
42.101,2.328e4
42.207,2.328e4
42.313,2.328e4
42.42,2.328e4
42.528,2.328e4
42.637,2.328e4
42.746,2.328e4
42.856,2.328e4
42.967,2.328e4
43.079,2.328e4
43.192,2.328e4
43.306,2.328e4
43.421,2.328e4
43.537,2.328e4
43.655,2.328e4
43.774,2.328e4
43.895,2.328e4
44.017,2.328e4
44.14,2.328e4
44.266,2.328e4
44.393,2.328e4
44.523,2.328e4
44.654,2.328e4
44.788,2.328e4
44.925,2.328e4
45.064,2.328e4
45.205,2.328e4
45.35,2.328e4
45.498,2.328e4
45.65,2.328e4
45.805,2.328e4
45.964,2.328e4
46.128,2.328e4
46.296,2.328e4
46.469,2.328e4
46.648,2.328e4
46.833,2.328e4
47.025,2.328e4
47.224,2.328e4
47.431,2.328e4
47.647,2.328e4
47.873,2.328e4
48.111,2.328e4
48.362,2.328e4
48.627,2.328e4
48.909,2.328e4
49.212,2.328e4
49.538,2.328e4
49.892,2.328e4
50.281,2.328e4
50.714,2.328e4
51.203,2.328e4
51.703,2.328e4
52.203,2.328e4
52.703,2.328e4
53.203,2.328e4
53.703,2.328e4
54.203,2.328e4
54.703,2.328e4
55.203,2.328e4
55.703,2.328e4
56.203,2.328e4
56.703,2.328e4
57.203,2.328e4
57.703,2.328e4
58.203,2.328e4
58.703,2.328e4
59.203,2.328e4
59.703,2.328e4
60.203,2.328e4
60.703,2.328e4
61.203,2.328e4
61.703,2.328e4
62.203,2.328e4
62.703,2.328e4
63.203,2.328e4
63.703,2.328e4
64.203,2.328e4
64.703,2.328e4
65.203,2.328e4
65.703,2.328e4
66.203,2.328e4
66.703,2.328e4
67.203,2.328e4
67.703,2.328e4
68.203,2.328e4
68.703,2.328e4
69.203,2.328e4
69.703,2.328e4
70.203,2.328e4
70.703,2.328e4
71.203,2.328e4
71.703,2.328e4
72.203,2.328e4
72.703,2.328e4
73.203,2.328e4
73.703,2.328e4
74.203,2.328e4
74.703,2.328e4
75.203,2.328e4
75.703,2.328e4
76.203,2.328e4
76.703,2.328e4
77.203,2.328e4
77.703,2.328e4
78.203,2.328e4
78.703,2.328e4
79.203,2.328e4
79.703,2.328e4
80.203,2.328e4
80.703,2.328e4
81.203,2.328e4
81.703,2.328e4
82.203,2.328e4
82.703,2.328e4
83.203,2.328e4
83.703,2.328e4
84.203,2.328e4
84.703,2.328e4
85.203,2.328e4
85.703,2.328e4
86.203,2.328e4
86.703,2.328e4
87.203,2.328e4
87.703,2.328e4
88.203,2.328e4
88.703,2.328e4
89.203,2.328e4
89.703,2.328e4
90.203,2.328e4
90.703,2.328e4
91.203,2.328e4
91.703,2.328e4
92.203,2.328e4
92.703,2.328e4
93.203,2.328e4
93.703,2.328e4
94.203,2.328e4
94.703,2.328e4
95.203,2.328e4
95.703,2.328e4
96.203,2.328e4
96.703,2.328e4
97.203,2.328e4
97.703,2.328e4
98.203,2.328e4
98.703,2.328e4
99.203,2.328e4
99.703,2.328e4
100.203,2.328e4
100.703,2.328e4
101.203,2.328e4
101.703,2.328e4
102.203,2.328e4
102.703,2.328e4
103.203,2.328e4
103.703,2.328e4
104.203,2.328e4
104.703,2.328e4
105.203,2.328e4
105.703,2.328e4
106.203,2.328e4
106.703,2.328e4
107.203,2.328e4
107.703,2.328e4
108.203,2.328e4
108.703,2.328e4
109.203,2.328e4
109.703,2.328e4
110.203,2.328e4
110.703,2.328e4
111.203,2.328e4
111.703,2.328e4
112.203,2.328e4
112.703,2.328e4
113.203,2.328e4
113.703,2.328e4
114.203,2.328e4
114.703,2.328e4
115.203,2.328e4
115.703,2.328e4
116.203,2.328e4
116.703,2.328e4
117.203,2.328e4
117.703,2.328e4
118.203,2.328e4
118.703,2.328e4
119.203,2.328e4
119.703,2.328e4
120.203,2.328e4
120.703,2.328e4
121.203,2.328e4
121.703,2.328e4
122.203,2.328e4
122.703,2.328e4
123.203,2.328e4
123.703,2.328e4
124.203,2.328e4
124.703,2.328e4
125.203,2.328e4
125.703,2.328e4
126.203,2.328e4
126.703,2.328e4
127.203,2.328e4
127.703,2.328e4
128.203,2.328e4
128.703,2.328e4
129.203,2.328e4
129.703,2.328e4
130.203,2.328e4
130.703,2.328e4
131.203,2.328e4
131.703,2.328e4
132.203,2.328e4
132.703,2.328e4
133.203,2.328e4
133.703,2.328e4
134.203,2.328e4
134.703,2.328e4
135.203,2.328e4
135.703,2.328e4
136.203,2.328e4
136.703,2.328e4
137.203,2.328e4
137.703,2.328e4
138.203,2.328e4
138.703,2.328e4
139.203,2.328e4
139.703,2.328e4
140.203,2.328e4
140.703,2.328e4
141.203,2.328e4
141.703,2.328e4
